Numero de reglas,C,Penalty,Solver,Iteraciones,Accuracy,Precision,Recall,F1 Score,Media,Tiempo
1,0.01,l2,saga,5000,0.9539,0.9189765458422174,0.5046838407494145,0.6515495086923658,0.7572774738209994,0.3941819667816162
1,0.1,l2,saga,5000,0.95625,0.8896164639850327,0.5567915690866511,0.6849117752970831,0.7718924520921917,1.9066693782806396
1,0.5,l2,saga,5000,0.95625,0.8860055607043559,0.5597189695550351,0.6860423394330821,0.7720042174231183,6.387907981872559
1,1.0,l2,saga,5000,0.9562,0.8844731977818854,0.560304449648712,0.6860215053763441,0.7717497882017353,11.89674687385559
1,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,1.2130391597747803
1,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.2250864505767822
1,0.5,l2,saga,5000,0.959,0.8633387888707038,0.6176814988290398,0.7201365187713311,0.7900392016177686,1.3309285640716553
1,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.4936175346374512
1,0.01,l2,saga,5000,0.95875,0.8809318377911993,0.5977751756440282,0.7122427624694803,0.7874249439761769,0.3869662284851074
1,0.1,l2,saga,5000,0.95915,0.8672712283594394,0.6159250585480094,0.7203012666894899,0.7906618883992347,1.5104401111602783
1,0.5,l2,saga,5000,0.95905,0.8646431501230517,0.617096018735363,0.7201913221728733,0.790245122757822,4.632359504699707
1,1.0,l2,saga,5000,0.959,0.8639344262295082,0.617096018735363,0.7199453551912568,0.7899939500390321,7.018893480300903
1,0.01,l2,saga,5000,0.94775,0.9559834938101788,0.4069086651053864,0.5708418891170431,0.7203710120081521,0.33905506134033203
1,0.1,l2,saga,5000,0.95775,0.9051643192488263,0.5644028103044496,0.6952758745041472,0.7806482510143558,0.4460787773132324
1,0.5,l2,saga,5000,0.9586,0.8852889667250438,0.59192037470726,0.7094736842105264,0.7863207564107075,0.72147536277771
1,1.0,l2,saga,5000,0.9591,0.8823024054982818,0.6012880562060889,0.7151810584958217,0.7894678800500481,1.1866121292114258
1,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,0.9937145709991455
1,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.2246668338775635
1,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.3352210521697998
1,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.4402918815612793
1,0.01,l2,saga,5000,0.95875,0.8809318377911993,0.5977751756440282,0.7122427624694803,0.7874249439761769,0.2628927230834961
1,0.1,l2,saga,5000,0.95915,0.8672712283594394,0.6159250585480094,0.7203012666894899,0.7906618883992347,1.8683013916015625
1,0.5,l2,saga,5000,0.95905,0.8646431501230517,0.617096018735363,0.7201913221728733,0.790245122757822,4.441086530685425
1,1.0,l2,saga,5000,0.959,0.8639344262295082,0.617096018735363,0.7199453551912568,0.7899939500390321,9.818242311477661
1,0.01,l2,saga,5000,0.8902,0.43028571428571427,0.8817330210772834,0.5783410138248848,0.6951399372969705,0.9643294811248779
1,0.1,l2,saga,5000,0.8898,0.4292641186537364,0.8811475409836066,0.5772919064058305,0.6943758915107934,3.9063377380371094
1,0.5,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,10.139975547790527
1,1.0,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,16.0835018157959
2,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.9598932266235352
2,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,1.1206774711608887
2,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.666264533996582
2,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.1383068561553955
2,0.01,l2,saga,5000,0.9539,0.9189765458422174,0.5046838407494145,0.6515495086923658,0.7572774738209994,0.3735160827636719
2,0.1,l2,saga,5000,0.9562,0.888785046728972,0.5567915690866511,0.6846652267818575,0.7716104606493702,2.0997581481933594
2,0.5,l2,saga,5000,0.95625,0.8852913968547641,0.560304449648712,0.6862674793832915,0.7720283314716918,6.352756977081299
2,1.0,l2,saga,5000,0.95625,0.8845798707294552,0.5608899297423887,0.6864922966678609,0.7720530242849262,8.837029933929443
2,0.01,l2,saga,5000,0.94625,0.983206106870229,0.3770491803278688,0.5450698264917477,0.7128937784224614,0.3120880126953125
2,0.1,l2,saga,5000,0.95445,0.9120992761116856,0.5163934426229508,0.6594392523364486,0.7605954927677712,0.5211277008056641
2,0.5,l2,saga,5000,0.9563,0.8971428571428571,0.5515222482435597,0.6831036983321247,0.7720172009296353,0.5884230136871338
2,1.0,l2,saga,5000,0.956,0.8898305084745762,0.5532786885245902,0.6823104693140795,0.7703549165783115,1.4725909233093262
2,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.8146421909332275
2,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,1.1984062194824219
2,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.1262507438659668
2,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.5147294998168945
2,0.01,l2,saga,5000,0.9539,0.9189765458422174,0.5046838407494145,0.6515495086923658,0.7572774738209994,0.27959227561950684
2,0.1,l2,saga,5000,0.95625,0.8896164639850327,0.5567915690866511,0.6849117752970831,0.7718924520921917,0.37502026557922363
2,0.5,l2,saga,5000,0.95625,0.8860055607043559,0.5597189695550351,0.6860423394330821,0.7720042174231183,1.662038803100586
2,1.0,l2,saga,5000,0.9562,0.8844731977818854,0.560304449648712,0.6860215053763441,0.7717497882017353,1.9343626499176025
2,0.01,l2,saga,5000,0.8316,0.31948673336233147,0.8600702576112412,0.46590548683793215,0.6192656194528762,0.7851276397705078
2,0.1,l2,saga,5000,0.831,0.31873373807458805,0.860655737704918,0.4651898734177215,0.6188948372993068,4.480926513671875
2,0.5,l2,saga,5000,0.8308,0.31853616284105674,0.8612412177985949,0.46506481188744864,0.6189105481317752,12.374362468719482
2,1.0,l2,saga,5000,0.8308,0.31853616284105674,0.8612412177985949,0.46506481188744864,0.6189105481317752,19.663808345794678
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,1.2505786418914795
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.2148950099945068
2,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.6555299758911133
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.1830368041992188
2,0.01,l2,saga,5000,0.94775,0.9559834938101788,0.4069086651053864,0.5708418891170431,0.7203710120081521,0.34293389320373535
2,0.1,l2,saga,5000,0.9577,0.9050751879699248,0.5638173302107728,0.6948051948051948,0.7803494282464731,0.3551514148712158
2,0.5,l2,saga,5000,0.9586,0.8852889667250438,0.59192037470726,0.7094736842105264,0.7863207564107075,0.6914608478546143
2,1.0,l2,saga,5000,0.9591,0.8823024054982818,0.6012880562060889,0.7151810584958217,0.7894678800500481,1.5110282897949219
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,1.160581111907959
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.1818442344665527
2,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.3856868743896484
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.2683966159820557
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,1.2210686206817627
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.1662921905517578
2,0.5,l2,saga,5000,0.959,0.8633387888707038,0.6176814988290398,0.7201365187713311,0.7900392016177686,1.374363660812378
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.5968329906463623
2,0.01,l2,saga,5000,0.88885,0.42703315386795127,0.8823185011709602,0.5755203360702692,0.6934304977772952,1.0469810962677002
2,0.1,l2,saga,5000,0.8888,0.42691218130311614,0.8823185011709602,0.5754104620084002,0.6933602861206192,1.465996503829956
2,0.5,l2,saga,5000,0.88865,0.4265496744975941,0.8823185011709602,0.575081091394772,0.6931498167658317,2.868624687194824
2,1.0,l2,saga,5000,0.8886,0.4264289756649689,0.8823185011709602,0.5749713849675696,0.6930797154508747,2.879852771759033
2,0.01,l2,saga,5000,0.94775,0.9559834938101788,0.4069086651053864,0.5708418891170431,0.7203710120081521,0.3986215591430664
2,0.1,l2,saga,5000,0.9577,0.9050751879699248,0.5638173302107728,0.6948051948051948,0.7803494282464731,0.3354358673095703
2,0.5,l2,saga,5000,0.9586,0.8852889667250438,0.59192037470726,0.7094736842105264,0.7863207564107075,0.9045250415802002
2,1.0,l2,saga,5000,0.9591,0.8823024054982818,0.6012880562060889,0.7151810584958217,0.7894678800500481,1.2290716171264648
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,0.9171164035797119
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,2.019947052001953
2,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.5599455833435059
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.487401008605957
2,0.01,l2,saga,5000,0.95875,0.8809318377911993,0.5977751756440282,0.7122427624694803,0.7874249439761769,0.35994863510131836
2,0.1,l2,saga,5000,0.95915,0.8672712283594394,0.6159250585480094,0.7203012666894899,0.7906618883992347,2.0459115505218506
2,0.5,l2,saga,5000,0.95905,0.8646431501230517,0.617096018735363,0.7201913221728733,0.790245122757822,4.611207485198975
2,1.0,l2,saga,5000,0.959,0.8639344262295082,0.617096018735363,0.7199453551912568,0.7899939500390321,9.84010124206543
2,0.01,l2,saga,5000,0.8902,0.43028571428571427,0.8817330210772834,0.5783410138248848,0.6951399372969705,0.8764140605926514
2,0.1,l2,saga,5000,0.8898,0.4292641186537364,0.8811475409836066,0.5772919064058305,0.6943758915107934,4.795893430709839
2,0.5,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,9.069600820541382
2,1.0,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,19.816921710968018
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,1.1238372325897217
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.188955545425415
2,0.5,l2,saga,5000,0.959,0.8633387888707038,0.6176814988290398,0.7201365187713311,0.7900392016177686,1.764096975326538
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.162494421005249
2,0.01,l2,saga,5000,0.94735,0.9542302357836339,0.4028103044496487,0.5664882667764513,0.7177197017524335,0.32188987731933594
2,0.1,l2,saga,5000,0.9564,0.8891992551210428,0.5591334894613583,0.6865564342199856,0.7728222947005967,0.34209322929382324
2,0.5,l2,saga,5000,0.9573,0.871304347826087,0.5866510538641686,0.7011896431070679,0.7791112611993308,0.640864372253418
2,1.0,l2,saga,5000,0.9574,0.8683304647160068,0.5907494145199064,0.7031358885017421,0.7799039419344138,1.0029067993164062
2,0.01,l2,saga,5000,0.8933,0.43731606827545616,0.870023419203747,0.582060321190756,0.6956749521674899,0.7106204032897949
2,0.1,l2,saga,5000,0.89655,0.4461676110945422,0.8758782201405152,0.5911875123493381,0.7024458358960989,0.7772552967071533
2,0.5,l2,saga,5000,0.89625,0.44527288994929914,0.8741217798594848,0.5900019758940921,0.701411661425719,1.3905422687530518
2,1.0,l2,saga,5000,0.8961,0.44487485101311086,0.8741217798594848,0.589652448657188,0.7011872698824458,2.389564037322998
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,0.8219804763793945
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.1672160625457764
2,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.4791595935821533
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.4818799495697021
2,0.01,l2,saga,5000,0.88885,0.42703315386795127,0.8823185011709602,0.5755203360702692,0.6934304977772952,0.6857213973999023
2,0.1,l2,saga,5000,0.8888,0.42691218130311614,0.8823185011709602,0.5754104620084002,0.6933602861206192,1.9040069580078125
2,0.5,l2,saga,5000,0.88865,0.4265496744975941,0.8823185011709602,0.575081091394772,0.6931498167658317,0.5913379192352295
2,1.0,l2,saga,5000,0.8886,0.4264289756649689,0.8823185011709602,0.5749713849675696,0.6930797154508747,3.192451000213623
2,0.01,l2,saga,5000,0.89025,0.4304086881966276,0.8817330210772834,0.5784520837334357,0.6952109482518367,0.9205965995788574
2,0.1,l2,saga,5000,0.8898,0.4292641186537364,0.8811475409836066,0.5772919064058305,0.6943758915107934,2.886063575744629
2,0.5,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,9.125295400619507
2,1.0,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,14.040868520736694
3,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.9336583614349365
3,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,1.17238187789917
3,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.8458747863769531
3,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.1420388221740723
3,0.01,l2,saga,5000,0.94625,0.983206106870229,0.3770491803278688,0.5450698264917477,0.7128937784224614,0.5089938640594482
3,0.1,l2,saga,5000,0.95445,0.9120992761116856,0.5163934426229508,0.6594392523364486,0.7605954927677712,0.5141639709472656
3,0.5,l2,saga,5000,0.9563,0.8971428571428571,0.5515222482435597,0.6831036983321247,0.7720172009296353,0.6357772350311279
3,1.0,l2,saga,5000,0.956,0.8898305084745762,0.5532786885245902,0.6823104693140795,0.7703549165783115,1.0491371154785156
3,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.8606486320495605
3,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,1.1956024169921875
3,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.5997767448425293
3,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.368138074874878
3,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.8058316707611084
3,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,0.9836380481719971
3,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.5761969089508057
3,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.3726003170013428
3,0.01,l2,saga,5000,0.8309,0.3189878892733564,0.8635831381733021,0.4658875552747947,0.6198396456803632,1.6308703422546387
3,0.1,l2,saga,5000,0.83085,0.3188405797101449,0.8629976580796253,0.46564523771915967,0.6195833688772324,1.8001787662506104
3,0.5,l2,saga,5000,0.83085,0.318762172689894,0.8624121779859485,0.46547637857481433,0.6193751823126642,2.7348577976226807
3,1.0,l2,saga,5000,0.83085,0.318762172689894,0.8624121779859485,0.46547637857481433,0.6193751823126642,2.7299458980560303
3,0.01,l2,saga,5000,0.94625,0.983206106870229,0.3770491803278688,0.5450698264917477,0.7128937784224614,0.3947486877441406
3,0.1,l2,saga,5000,0.95445,0.9120992761116856,0.5163934426229508,0.6594392523364486,0.7605954927677712,0.34160447120666504
3,0.5,l2,saga,5000,0.95635,0.8995215311004785,0.550351288056206,0.6828913912095895,0.7722785525915685,0.542384147644043
3,1.0,l2,saga,5000,0.95605,0.8914069877242682,0.5526932084309133,0.6823274304300687,0.7706194066463126,1.1642508506774902
3,0.01,l2,saga,5000,0.9561,0.8998073217726397,0.5468384074941453,0.6802621995630007,0.7707519822074465,0.8071684837341309
3,0.1,l2,saga,5000,0.9563,0.8861111111111111,0.560304449648712,0.6865136298421808,0.772307297650501,1.1130530834197998
3,0.5,l2,saga,5000,0.95625,0.8845798707294552,0.5608899297423887,0.6864922966678609,0.7720530242849262,1.1944074630737305
3,1.0,l2,saga,5000,0.9563,0.8846863468634686,0.5614754098360656,0.6869627507163324,0.7723561268539667,1.2535645961761475
3,0.01,l2,saga,5000,0.9539,0.9189765458422174,0.5046838407494145,0.6515495086923658,0.7572774738209994,0.303973913192749
3,0.1,l2,saga,5000,0.9562,0.888785046728972,0.5567915690866511,0.6846652267818575,0.7716104606493702,0.42741823196411133
3,0.5,l2,saga,5000,0.95625,0.8852913968547641,0.560304449648712,0.6862674793832915,0.7720283314716918,1.2027828693389893
